id,isolate,country,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),,,,,,,,,,,LIN2,LIN3,LIN4
116235,UG296,Uganda,14524,0_16_0_1_29_0_0_0_0_0_0,0,16,0,1,29,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
116236,UG440,Uganda,14525,0_0_33_116_0_0_0_0_0_0_0,0,0,33,116,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_116
116237,UG221,Uganda,14526,0_9_0_5_9_0_0_0_0_0_0,0,9,0,5,9,0,0,0,0,0,0,0_9,0_9_0,0_9_0_5
116238,UG040,Uganda,14527,1_1_56_0_0_0_0_0_0_0_0,1,1,56,0,0,0,0,0,0,0,0,1_1,1_1_56,1_1_56_0
116239,UG474,Uganda,14528,0_0_36_8_0_0_0_0_0_0_0,0,0,36,8,0,0,0,0,0,0,0,0_0,0_0_36,0_0_36_8
116240,UG501,Uganda,14529,0_16_8_0_0_0_0_0_0_0_0,0,16,8,0,0,0,0,0,0,0,0,0_16,0_16_8,0_16_8_0
116241,UG162,Uganda,14530,0_0_36_4_12_0_0_0_0_0_0,0,0,36,4,12,0,0,0,0,0,0,0_0,0_0_36,0_0_36_4
116242,UG007,Uganda,14531,0_16_9_0_0_0_0_0_0_0_0,0,16,9,0,0,0,0,0,0,0,0,0_16,0_16_9,0_16_9_0
116243,UG393,Uganda,14532,0_2_21_0_13_0_0_0_0_0_0,0,2,21,0,13,0,0,0,0,0,0,0_2,0_2_21,0_2_21_0
116244,UG411,Uganda,14533,0_16_9_4_0_0_0_0_0_0_0,0,16,9,4,0,0,0,0,0,0,0,0_16,0_16_9,0_16_9_4
116245,UG084,Uganda,14534,1_1_34_12_0_0_0_0_0_0_0,1,1,34,12,0,0,0,0,0,0,0,1_1,1_1_34,1_1_34_12
116246,UG413,Uganda,14535;20257,1_1_56_0_1_0_0_0_0_0_0,1,1,56,0,1,0,0,0,0,0,0,1_1,1_1_56,1_1_56_0
116247,UG343,Uganda,14536,0_9_0_7_0_0_0_0_0_0_0,0,9,0,7,0,0,0,0,0,0,0,0_9,0_9_0,0_9_0_7
116248,UG435,Uganda,14537,0_16_0_10_0_0_0_0_0_0_0,0,16,0,10,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_10
116249,UG503,Uganda,14538,0_2_55_3_0_0_0_0_0_0_0,0,2,55,3,0,0,0,0,0,0,0,0_2,0_2_55,0_2_55_3
116250,UG198,Uganda,14539,0_16_4_1_0_0_0_0_0_0_0,0,16,4,1,0,0,0,0,0,0,0,0_16,0_16_4,0_16_4_1
116251,UG167,Uganda,14540,1_0_0_3_0_0_0_0_0_0_0,1,0,0,3,0,0,0,0,0,0,0,1_0,1_0_0,1_0_0_3
116252,UG189,Uganda,14541,0_16_9_3_0_0_0_0_0_0_0,0,16,9,3,0,0,0,0,0,0,0,0_16,0_16_9,0_16_9_3
116253,UG075,Uganda,14542,0_16_9_2_0_0_0_0_0_0_0,0,16,9,2,0,0,0,0,0,0,0,0_16,0_16_9,0_16_9_2
117540,NG31052019,Cameroon,15175,0_0_33_12_5_4_0_0_0_0_0,0,0,33,12,5,4,0,0,0,0,0,0_0,0_0_33,0_0_33_12
117541,NG27082019A,Cameroon,15176;26043,0_16_0_11_0_0_0_0_0_0_0,0,16,0,11,0,0,0,0,0,0,0,0_16,0_16_0,0_16_0_11
117542,NG27082019B,Cameroon,15177,0_16_0_11_0_0_0_0_0_1_0,0,16,0,11,0,0,0,0,0,1,0,0_16,0_16_0,0_16_0_11
117543,NG20042303A,Cameroon,15178,1_1_2_14_4_0_0_0_0_0_0,1,1,2,14,4,0,0,0,0,0,0,1_1,1_1_2,1_1_2_14
117544,NG20042303B,Cameroon,15178,1_1_2_14_4_0_0_0_0_0_0,1,1,2,14,4,0,0,0,0,0,0,1_1,1_1_2,1_1_2_14
117545,NG13112001,Cameroon,15179,1_1_17_14_0_0_0_0_0_0_0,1,1,17,14,0,0,0,0,0,0,0,1_1,1_1_17,1_1_17_14
117546,NG14112002,Cameroon,15180,0_16_0_2_8_0_0_0_0_0_0,0,16,0,2,8,0,0,0,0,0,0,0_16,0_16_0,0_16_0_2
117547,NG14112003,Cameroon,15181,0_0_33_83_0_0_0_0_0_0_0,0,0,33,83,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_83
118224,NG20042303AMaxwell,Cameroon,15178,1_1_2_14_4_0_0_0_0_0_0,1,1,2,14,4,0,0,0,0,0,0,1_1,1_1_2,1_1_2_14
118225,NG14112003Maxwell,Cameroon,15181,0_0_33_83_0_0_0_0_0_0_0,0,0,33,83,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_83
123150,FF05_01-134,Zambia,16240,51_0_0_1_0_0_0_0_0_0_0,51,0,0,1,0,0,0,0,0,0,0,51_0,51_0_0,51_0_0_1
123151,FF05_02-104,Zambia,16241,51_0_0_0_0_0_0_0_0_0_0,51,0,0,0,0,0,0,0,0,0,0,51_0,51_0_0,51_0_0_0
123152,FF05_02-210,Zambia,,,,,,,,,,,,,,_,__,___
123332,7148,South Africa,,,,,,,,,,,,,,_,__,___
123333,5054,South Africa,,,,,,,,,,,,,,_,__,___
123334,1077,South Africa,,,,,,,,,,,,,,_,__,___
123335,2003,South Africa,,,,,,,,,,,,,,_,__,___
123336,7023,South Africa,,,,,,,,,,,,,,_,__,___
123337,8054,South Africa,,,,,,,,,,,,,,_,__,___
123338,7064,South Africa,,,,,,,,,,,,,,_,__,___
123339,5051,South Africa,,,,,,,,,,,,,,_,__,___
123340,3146,South Africa,,,,,,,,,,,,,,_,__,___
123341,8081,South Africa,,,,,,,,,,,,,,_,__,___
123342,1030,South Africa,,,,,,,,,,,,,,_,__,___
123343,3159,South Africa,,,,,,,,,,,,,,_,__,___
123344,3123,South Africa,,,,,,,,,,,,,,_,__,___
123345,1075,South Africa,,,,,,,,,,,,,,_,__,___
123346,8050,South Africa,,,,,,,,,,,,,,_,__,___
123347,3031,South Africa,,,,,,,,,,,,,,_,__,___
125903,MDG-NG10,Madagascar,16719,1_2_1_3_0_0_0_0_0_0_0,1,2,1,3,0,0,0,0,0,0,0,1_2,1_2_1,1_2_1_3
125904,MDG-NG11,Madagascar,16720,1_2_1_0_0_0_0_0_0_0_0,1,2,1,0,0,0,0,0,0,0,0,1_2,1_2_1,1_2_1_0
125905,MDG-NG12,Madagascar,16721,0_0_74_0_0_0_0_0_0_0_0,0,0,74,0,0,0,0,0,0,0,0,0_0,0_0_74,0_0_74_0
125906,MDG-NG13,Madagascar,16722,1_1_58_0_0_0_0_0_0_0_0,1,1,58,0,0,0,0,0,0,0,0,1_1,1_1_58,1_1_58_0
125907,MDG-NG14,Madagascar,16723,0_2_9_14_64_0_0_0_0_0_0,0,2,9,14,64,0,0,0,0,0,0,0_2,0_2_9,0_2_9_14
125908,MDG-NG15,Madagascar,16724,0_24_0_0_1_0_0_0_0_0_0,0,24,0,0,1,0,0,0,0,0,0,0_24,0_24_0,0_24_0_0
125909,MDG-NG16,Madagascar,16725,1_1_59_0_0_0_0_0_0_0_0,1,1,59,0,0,0,0,0,0,0,0,1_1,1_1_59,1_1_59_0
125910,MDG-NG17,Madagascar,16726,1_2_1_1_0_0_0_0_0_0_0,1,2,1,1,0,0,0,0,0,0,0,1_2,1_2_1,1_2_1_1
125911,MDG-NG18,Madagascar,16727,0_2_9_14_63_0_0_0_0_0_0,0,2,9,14,63,0,0,0,0,0,0,0_2,0_2_9,0_2_9_14
125912,MDG-NG19,Madagascar,16728,1_1_57_0_0_0_0_0_0_0_0,1,1,57,0,0,0,0,0,0,0,0,1_1,1_1_57,1_1_57_0
125913,MDG-NG1,Madagascar,16729,1_2_1_1_2_0_0_0_0_0_0,1,2,1,1,2,0,0,0,0,0,0,1_2,1_2_1,1_2_1_1
125914,MDG-NG20,Madagascar,16730,0_0_47_6_22_0_0_0_0_0_0,0,0,47,6,22,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
125915,MDG-NG21,Madagascar,16731,1_1_60_0_0_0_0_0_0_0_0,1,1,60,0,0,0,0,0,0,0,0,1_1,1_1_60,1_1_60_0
125916,MDG-NG22,Madagascar,16732;16746,1_2_1_2_0_0_0_0_0_0_0,1,2,1,2,0,0,0,0,0,0,0,1_2,1_2_1,1_2_1_2
125917,MDG-NG23,Madagascar,16733,1_2_2_0_0_0_0_0_0_0_0,1,2,2,0,0,0,0,0,0,0,0,1_2,1_2_2,1_2_2_0
125918,MDG-NG24,Madagascar,16734,1_2_1_4_0_0_0_0_0_0_0,1,2,1,4,0,0,0,0,0,0,0,1_2,1_2_1,1_2_1_4
125919,MDG-NG25,Madagascar,16735,0_0_80_0_1_0_0_0_0_0_0,0,0,80,0,1,0,0,0,0,0,0,0_0,0_0_80,0_0_80_0
125920,MDG-NG26,Madagascar,16736,1_1_61_0_0_0_0_0_0_0_0,1,1,61,0,0,0,0,0,0,0,0,1_1,1_1_61,1_1_61_0
125921,MDG-NG27,Madagascar,16737,0_24_0_0_0_0_0_0_0_0_0,0,24,0,0,0,0,0,0,0,0,0,0_24,0_24_0,0_24_0_0
125922,MDG-NG28,Madagascar,16738,0_2_39_1_0_0_0_0_0_0_0,0,2,39,1,0,0,0,0,0,0,0,0_2,0_2_39,0_2_39_1
125923,MDG-NG29,Madagascar,16739,0_0_82_0_0_0_0_0_0_0_0,0,0,82,0,0,0,0,0,0,0,0,0_0,0_0_82,0_0_82_0
125924,MDG-NG2,Madagascar,16740,0_0_81_0_0_0_0_0_0_0_0,0,0,81,0,0,0,0,0,0,0,0,0_0,0_0_81,0_0_81_0
125925,MDG-NG30,Madagascar,16741,1_2_1_1_1_0_0_0_0_0_0,1,2,1,1,1,0,0,0,0,0,0,1_2,1_2_1,1_2_1_1
125926,MDG-NG31,Madagascar,16742,0_2_9_14_66_0_0_0_0_0_0,0,2,9,14,66,0,0,0,0,0,0,0_2,0_2_9,0_2_9_14
125927,MDG-NG32,Madagascar,16743;16748,0_24_0_1_2_0_0_0_0_0_0,0,24,0,1,2,0,0,0,0,0,0,0_24,0_24_0,0_24_0_1
125928,MDG-NG33,Madagascar,,,,,,,,,,,,,,_,__,___
125929,MDG-NG34,Madagascar,16744,0_0_82_1_0_0_0_0_0_0_0,0,0,82,1,0,0,0,0,0,0,0,0_0,0_0_82,0_0_82_1
125930,MDG-NG35,Madagascar,16745,0_0_77_0_0_0_0_0_0_0_0,0,0,77,0,0,0,0,0,0,0,0,0_0,0_0_77,0_0_77_0
125931,MDG-NG36,Madagascar,,,,,,,,,,,,,,_,__,___
125932,MDG-NG37,Madagascar,16746,1_2_1_2_0_0_0_0_0_0_0,1,2,1,2,0,0,0,0,0,0,0,1_2,1_2_1,1_2_1_2
125933,MDG-NG38,Madagascar,,,,,,,,,,,,,,_,__,___
125934,MDG-NG39,Madagascar,,,,,,,,,,,,,,_,__,___
125935,MDG-NG3,Madagascar,16747,0_24_0_1_0_0_0_0_0_0_0,0,24,0,1,0,0,0,0,0,0,0,0_24,0_24_0,0_24_0_1
125936,MDG-NG40,Madagascar,,,,,,,,,,,,,,_,__,___
125937,MDG-NG41,Madagascar,,,,,,,,,,,,,,_,__,___
125938,MDG-NG42,Madagascar,16748,0_24_0_1_2_0_0_0_0_0_0,0,24,0,1,2,0,0,0,0,0,0,0_24,0_24_0,0_24_0_1
125939,MDG-NG43,Madagascar,,,,,,,,,,,,,,_,__,___
125940,MDG-NG44,Madagascar,,,,,,,,,,,,,,_,__,___
125941,MDG-NG45,Madagascar,,,,,,,,,,,,,,_,__,___
125942,MDG-NG46,Madagascar,,,,,,,,,,,,,,_,__,___
125943,MDG-NG47,Madagascar,,,,,,,,,,,,,,_,__,___
125945,MDG-NG4,Madagascar,16749,1_1_57_1_0_0_0_0_0_0_0,1,1,57,1,0,0,0,0,0,0,0,1_1,1_1_57,1_1_57_1
125947,MDG-NG5,Madagascar,16750,0_2_9_14_65_0_0_0_0_0_0,0,2,9,14,65,0,0,0,0,0,0,0_2,0_2_9,0_2_9_14
125948,MDG-NG6,Madagascar,16751,0_2_77_0_0_0_0_0_0_0_0,0,2,77,0,0,0,0,0,0,0,0,0_2,0_2_77,0_2_77_0
125950,MDG-NG8,Madagascar,16753,0_24_0_1_1_0_0_0_0_0_0,0,24,0,1,1,0,0,0,0,0,0,0_24,0_24_0,0_24_0_1
125951,MDG-NG9,Madagascar,16754,1_2_2_1_0_0_0_0_0_0_0,1,2,2,1,0,0,0,0,0,0,0,1_2,1_2_2,1_2_2_1
126241,7135,South Africa,,,,,,,,,,,,,,_,__,___
126242,8099,South Africa,,,,,,,,,,,,,,_,__,___
126243,3096,South Africa,,,,,,,,,,,,,,_,__,___
126244,8076,South Africa,,,,,,,,,,,,,,_,__,___
126245,8060,South Africa,,,,,,,,,,,,,,_,__,___
126246,3140,South Africa,,,,,,,,,,,,,,_,__,___
126247,3166,South Africa,,,,,,,,,,,,,,_,__,___
126248,3085,South Africa,,,,,,,,,,,,,,_,__,___
126249,1071,South Africa,,,,,,,,,,,,,,_,__,___
126250,3118,South Africa,,,,,,,,,,,,,,_,__,___
126251,8023,South Africa,,,,,,,,,,,,,,_,__,___
126252,8039,South Africa,,,,,,,,,,,,,,_,__,___
126253,1040,South Africa,,,,,,,,,,,,,,_,__,___
126254,3062,South Africa,,,,,,,,,,,,,,_,__,___
126255,8030,South Africa,,,,,,,,,,,,,,_,__,___
126256,3095,South Africa,,,,,,,,,,,,,,_,__,___
126257,1037,South Africa,,,,,,,,,,,,,,_,__,___
126258,7152,South Africa,,,,,,,,,,,,,,_,__,___
126259,5068,South Africa,,,,,,,,,,,,,,_,__,___
126260,8102,South Africa,,,,,,,,,,,,,,_,__,___
126261,7072,South Africa,,,,,,,,,,,,,,_,__,___
126262,5059,South Africa,,,,,,,,,,,,,,_,__,___
126263,5029,South Africa,,,,,,,,,,,,,,_,__,___
126264,1065,South Africa,,,,,,,,,,,,,,_,__,___
126265,8098,South Africa,,,,,,,,,,,,,,_,__,___
126266,1060,South Africa,,,,,,,,,,,,,,_,__,___
126267,1053,South Africa,,,,,,,,,,,,,,_,__,___
126268,8011,South Africa,,,,,,,,,,,,,,_,__,___
126269,3075,South Africa,,,,,,,,,,,,,,_,__,___
126270,7154,South Africa,,,,,,,,,,,,,,_,__,___
126271,3158,South Africa,,,,,,,,,,,,,,_,__,___
126272,3121,South Africa,,,,,,,,,,,,,,_,__,___
126273,3163,South Africa,,,,,,,,,,,,,,_,__,___
126274,8078,South Africa,,,,,,,,,,,,,,_,__,___
126275,5060,South Africa,,,,,,,,,,,,,,_,__,___
126929,3115,South Africa,,,,,,,,,,,,,,_,__,___
126930,5043,South Africa,,,,,,,,,,,,,,_,__,___
126931,5018,South Africa,,,,,,,,,,,,,,_,__,___
126932,7079,South Africa,,,,,,,,,,,,,,_,__,___
126933,3044,South Africa,,,,,,,,,,,,,,_,__,___
126934,7039,South Africa,,,,,,,,,,,,,,_,__,___
126935,5037,South Africa,,,,,,,,,,,,,,_,__,___
126936,3076,South Africa,,,,,,,,,,,,,,_,__,___
126937,7070,South Africa,,,,,,,,,,,,,,_,__,___
126938,1074,South Africa,,,,,,,,,,,,,,_,__,___
126939,7129,South Africa,,,,,,,,,,,,,,_,__,___
126940,1087,South Africa,,,,,,,,,,,,,,_,__,___
126941,3108,South Africa,,,,,,,,,,,,,,_,__,___
126942,1109,South Africa,,,,,,,,,,,,,,_,__,___
126943,5034,South Africa,,,,,,,,,,,,,,_,__,___
126944,7052,South Africa,,,,,,,,,,,,,,_,__,___
126945,1105,South Africa,,,,,,,,,,,,,,_,__,___
126946,5006,South Africa,,,,,,,,,,,,,,_,__,___
126947,7113,South Africa,,,,,,,,,,,,,,_,__,___
126948,8089,South Africa,,,,,,,,,,,,,,_,__,___
126949,5025,South Africa,,,,,,,,,,,,,,_,__,___
131095,GP-12-MUS-048,South Africa,19409;33764,0_12_10_0_0_0_0_0_0_0_0,0,12,10,0,0,0,0,0,0,0,0,0_12,0_12_10,0_12_10_0
131096,GP-12-MUS-049,South Africa,19410;29656,0_0_23_5_0_0_0_0_0_0_0,0,0,23,5,0,0,0,0,0,0,0,0_0,0_0_23,0_0_23_5
131097,GP-12-MUS-052,South Africa,19411;29657,0_0_23_2_4_0_0_0_0_0_0,0,0,23,2,4,0,0,0,0,0,0,0_0,0_0_23,0_0_23_2
131098,GP-12-MUS-069,South Africa,19412,1_1_27_2_1_0_0_0_0_0_0,1,1,27,2,1,0,0,0,0,0,0,1_1,1_1_27,1_1_27_2
131099,GP-12-MUS-071,South Africa,19413,0_0_33_12_92_1_0_0_0_1_0,0,0,33,12,92,1,0,0,0,1,0,0_0,0_0_33,0_0_33_12
131100,GP-12-MUS-086,South Africa,19414,1_1_17_9_0_0_0_0_0_0_0,1,1,17,9,0,0,0,0,0,0,0,1_1,1_1_17,1_1_17_9
131101,GP-12-MUS-088,South Africa,19415,0_0_33_12_164_0_0_0_0_0_0,0,0,33,12,164,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131102,GP-12-MUS-092,South Africa,19416;29658,0_0_23_6_0_0_0_0_0_0_0,0,0,23,6,0,0,0,0,0,0,0,0_0,0_0_23,0_0_23_6
131103,GP-12-MUS-093,South Africa,19417,1_1_17_4_7_0_0_0_0_0_0,1,1,17,4,7,0,0,0,0,0,0,1_1,1_1_17,1_1_17_4
131104,GP-12-MUS-096,South Africa,19418,0_0_65_0_0_0_0_0_0_0_0,0,0,65,0,0,0,0,0,0,0,0,0_0,0_0_65,0_0_65_0
131105,GP-12-MUS-099,South Africa,19419,1_1_27_6_2_0_0_0_0_0_0,1,1,27,6,2,0,0,0,0,0,0,1_1,1_1_27,1_1_27_6
131106,GP-12-MUS-102,South Africa,19420,1_1_27_6_8_0_0_0_0_0_0,1,1,27,6,8,0,0,0,0,0,0,1_1,1_1_27,1_1_27_6
131107,GP-12-MUS-107,South Africa,19421,1_3_0_1_0_0_0_0_0_0_0,1,3,0,1,0,0,0,0,0,0,0,1_3,1_3_0,1_3_0_1
131108,GP-12-MUS-109,South Africa,19422;29659,0_0_23_24_0_0_0_0_0_0_0,0,0,23,24,0,0,0,0,0,0,0,0_0,0_0_23,0_0_23_24
131109,GP-12-MUS-110,South Africa,19415,0_0_33_12_164_0_0_0_0_0_0,0,0,33,12,164,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131110,GP-12-MUS-115,South Africa,19423;29660,0_0_23_16_0_0_0_0_0_0_0,0,0,23,16,0,0,0,0,0,0,0,0_0,0_0_23,0_0_23_16
131111,GP-12-MUS-116,South Africa,19424,1_1_50_0_0_0_0_0_0_0_0,1,1,50,0,0,0,0,0,0,0,0,1_1,1_1_50,1_1_50_0
131112,GP-12-MUS-117,South Africa,19425,0_23_0_0_2_0_0_0_0_0_0,0,23,0,0,2,0,0,0,0,0,0,0_23,0_23_0,0_23_0_0
131113,GP-12-MUS-124,South Africa,19426,0_0_33_12_92_1_1_0_0_0_0,0,0,33,12,92,1,1,0,0,0,0,0_0,0_0_33,0_0_33_12
131114,GP-12-MUS-137,South Africa,19427,1_1_17_4_10_0_0_0_0_0_0,1,1,17,4,10,0,0,0,0,0,0,1_1,1_1_17,1_1_17_4
131115,GP-12-MUS-163,South Africa,19428,0_0_33_12_92_3_0_0_0_0_0,0,0,33,12,92,3,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131116,GP-12-MUS-166,South Africa,19429,0_2_21_0_2_0_0_0_0_0_0,0,2,21,0,2,0,0,0,0,0,0,0_2,0_2_21,0_2_21_0
131117,GP-12-MUS-170,South Africa,19430,0_23_0_0_0_0_0_0_0_0_0,0,23,0,0,0,0,0,0,0,0,0,0_23,0_23_0,0_23_0_0
131118,GP-12-MUS-180,South Africa,19431,1_1_17_4_5_0_0_0_0_0_0,1,1,17,4,5,0,0,0,0,0,0,1_1,1_1_17,1_1_17_4
131119,GP-12-MUS-190,South Africa,19432,0_16_0_1_6_2_0_0_0_0_0,0,16,0,1,6,2,0,0,0,0,0,0_16,0_16_0,0_16_0_1
131120,GP-12-MUS-199,South Africa,19433;29661,0_0_23_2_3_0_0_0_0_0_0,0,0,23,2,3,0,0,0,0,0,0,0_0,0_0_23,0_0_23_2
131121,GP-12-MUS-205,South Africa,19434,0_0_33_12_92_1_0_0_0_0_0,0,0,33,12,92,1,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131122,GP-12-MUS-208,South Africa,19435,0_0_33_12_192_0_0_0_0_0_0,0,0,33,12,192,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131123,GP-12-MUS-211,South Africa,19436,1_3_1_0_0_0_0_0_0_0_0,1,3,1,0,0,0,0,0,0,0,0,1_3,1_3_1,1_3_1_0
131124,GP-12-MUS-214,South Africa,19437;29662,0_0_23_3_1_0_0_0_0_0_0,0,0,23,3,1,0,0,0,0,0,0,0_0,0_0_23,0_0_23_3
131125,GP-12-MUS-220,South Africa,19438,0_16_0_1_6_3_0_0_0_0_0,0,16,0,1,6,3,0,0,0,0,0,0_16,0_16_0,0_16_0_1
131126,GP-12-MUS-242,South Africa,,,,,,,,,,,,,,_,__,___
131127,GP-12-MUS-250,South Africa,19439,1_1_17_4_14_0_0_0_0_0_0,1,1,17,4,14,0,0,0,0,0,0,1_1,1_1_17,1_1_17_4
131128,GP-12-MUS-251,South Africa,19440,0_0_33_12_159_0_0_0_0_0_0,0,0,33,12,159,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131129,GP-12-MUS-252,South Africa,19441,0_2_73_0_0_0_0_0_0_0_0,0,2,73,0,0,0,0,0,0,0,0,0_2,0_2_73,0_2_73_0
131130,GP-12-MUS-264,South Africa,19442,0_0_47_6_9_0_0_0_0_0_0,0,0,47,6,9,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131131,GP-12-MUS-273,South Africa,19443,0_0_33_12_268_0_0_0_0_0_0,0,0,33,12,268,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131132,GP-12-MUS-276,South Africa,19444,0_0_33_12_92_1_0_0_0_2_0,0,0,33,12,92,1,0,0,0,2,0,0_0,0_0_33,0_0_33_12
131133,GP-12-MUS-283,South Africa,19445,0_0_47_6_21_0_0_0_0_0_0,0,0,47,6,21,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131134,GP-12-MUS-289,South Africa,19446,0_0_33_98_0_0_0_0_0_0_0,0,0,33,98,0,0,0,0,0,0,0,0_0,0_0_33,0_0_33_98
131135,GP-12-MUS-291,South Africa,19447,0_2_21_0_7_0_0_0_0_0_0,0,2,21,0,7,0,0,0,0,0,0,0_2,0_2_21,0_2_21_0
131136,GP-12-MUS-297,South Africa,19448,0_0_36_1_2_0_0_0_0_0_0,0,0,36,1,2,0,0,0,0,0,0,0_0,0_0_36,0_0_36_1
131137,GP-12-MUS-303,South Africa,19449;33765,0_0_36_1_5_0_0_0_0_0_0,0,0,36,1,5,0,0,0,0,0,0,0_0,0_0_36,0_0_36_1
131138,GP-12-MUS-307,South Africa,19450,0_0_33_12_179_0_0_0_0_0_0,0,0,33,12,179,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131139,GP-12-MUS-311,South Africa,19451,0_12_10_2_0_0_0_0_0_0_0,0,12,10,2,0,0,0,0,0,0,0,0_12,0_12_10,0_12_10_2
131140,GP-12-MUS-312,South Africa,19452,0_0_33_12_149_0_0_0_0_0_0,0,0,33,12,149,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131141,GP-12-MUS-317,South Africa,19453,0_0_47_6_11_0_0_0_0_0_0,0,0,47,6,11,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131142,GP-12-MUS-319,South Africa,19454;29663,0_0_23_2_1_0_0_0_0_0_0,0,0,23,2,1,0,0,0,0,0,0,0_0,0_0_23,0_0_23_2
131143,GP-12-MUS-324,South Africa,19455,0_2_21_0_9_0_0_0_0_0_0,0,2,21,0,9,0,0,0,0,0,0,0_2,0_2_21,0_2_21_0
131144,GP-12-MUS-325,South Africa,19456,1_1_17_11_0_0_0_0_0_0_0,1,1,17,11,0,0,0,0,0,0,0,1_1,1_1_17,1_1_17_11
131145,GP-12-MUS-331,South Africa,19457,0_0_33_12_92_1_0_0_2_0_0,0,0,33,12,92,1,0,0,2,0,0,0_0,0_0_33,0_0_33_12
131146,GP-12-MUS-333,South Africa,19458;29664,0_0_23_2_9_0_0_0_0_0_0,0,0,23,2,9,0,0,0,0,0,0,0_0,0_0_23,0_0_23_2
131147,GP-12-MUS-337,South Africa,19459,0_0_33_12_92_1_0_0_0_4_0,0,0,33,12,92,1,0,0,0,4,0,0_0,0_0_33,0_0_33_12
131148,GP-12-MUS-339,South Africa,19460,0_0_33_12_150_0_0_0_0_0_0,0,0,33,12,150,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131149,GP-12-MUS-356,South Africa,19461,0_0_47_6_3_0_0_0_0_0_0,0,0,47,6,3,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131150,GP-12-MUS-358,South Africa,19462,0_0_47_6_5_0_0_0_0_0_0,0,0,47,6,5,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131151,GP-12-MUS-361,South Africa,19463,0_2_21_0_10_0_0_0_0_0_0,0,2,21,0,10,0,0,0,0,0,0,0_2,0_2_21,0_2_21_0
131152,GP-12-MUS-363,South Africa,19464,0_18_23_1_0_0_0_0_0_0_0,0,18,23,1,0,0,0,0,0,0,0,0_18,0_18_23,0_18_23_1
131153,GP-12-MUS-368,South Africa,19465,0_0_33_12_170_0_0_0_0_0_0,0,0,33,12,170,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131154,GP-12-MUS-371,South Africa,19466,0_0_33_12_147_0_0_0_0_0_0,0,0,33,12,147,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131155,GP-13-MUS-001,South Africa,19467,0_23_0_0_1_0_0_0_0_0_0,0,23,0,0,1,0,0,0,0,0,0,0_23,0_23_0,0_23_0_0
131156,GP-13-MUS-015,South Africa,19468,0_16_0_1_6_5_0_0_0_0_0,0,16,0,1,6,5,0,0,0,0,0,0_16,0_16_0,0_16_0_1
131157,GP-13-MUS-032,South Africa,19469,0_0_33_12_196_0_0_0_0_0_0,0,0,33,12,196,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131158,GP-13-MUS-044,South Africa,19470,0_0_33_12_171_0_0_0_0_0_0,0,0,33,12,171,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
131159,GP-13-MUS-047,South Africa,19471,0_0_47_6_7_0_0_0_0_0_0,0,0,47,6,7,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131160,GP-13-MUS-051,South Africa,19472,0_16_0_1_6_1_0_0_0_0_0,0,16,0,1,6,1,0,0,0,0,0,0_16,0_16_0,0_16_0_1
131161,GP-13-MUS-052,South Africa,19473,0_16_0_1_20_0_0_0_0_0_0,0,16,0,1,20,0,0,0,0,0,0,0_16,0_16_0,0_16_0_1
131162,GP-13-MUS-053,South Africa,19474,0_0_33_12_92_1_0_0_1_0_0,0,0,33,12,92,1,0,0,1,0,0,0_0,0_0_33,0_0_33_12
131163,GP-13-MUS-067,South Africa,19475,0_0_47_6_8_0_0_0_0_0_0,0,0,47,6,8,0,0,0,0,0,0,0_0,0_0_47,0_0_47_6
131164,GP-13-MUS-068,South Africa,19476,0_0_36_1_1_0_0_0_0_0_0,0,0,36,1,1,0,0,0,0,0,0,0_0,0_0_36,0_0_36_1
131165,GP-13-MUS-070,South Africa,19477,0_0_33_12_167_0_0_0_0_0_0,0,0,33,12,167,0,0,0,0,0,0,0_0,0_0_33,0_0_33_12
