id,isolate,country,year,'mtrR,NEIS1753(PenA),NG_23S,NG_gyrA,NG_parC,NG_ponA,NG_porB,ST(NG STAR),CC(NG STAR)
131327,15MUS-AH165,South Africa,2015,18,228,100,7,26,1,100,,
131328,15MUS-AH166,South Africa,2015,254,294,100,7,55,1,13,,
131329,16MUS-AH007,South Africa,2016,18,228,100,7,20,1,100,1628,1632
131330,16MUS-AH009,South Africa,2016,163,294,100,100,208,1,100,,
131331,16MUS-AH010,South Africa,2016,54,228,100,100,1,100,14,1973,
131332,16MUS-AH011,South Africa,2016,705,294,100,1,2,1,3,,
131333,16MUS-AH012,South Africa,2016,706,23,100,1,4,1,14,,
131334,16MUS-AH017,South Africa,2016,18,228,100,7,15,1,14,1304,1632
131335,16MUS-AH019,South Africa,2016,707,285,100,1,22,1,13,,
131336,16MUS-AH023,South Africa,2016,69,285,100,1,2,100,100,,
131337,16MUS-AH026,South Africa,2016,18,228,100,7,15,1,13,1643,1096
131338,16MUS-AH029,South Africa,2016,18,228,100,7,55,1,100,1625,1632
131339,16MUS-AH030,South Africa,2016,383,285,100,1,22,1,3,,
131340,16MUS-AH034,South Africa,2016,163,294,100,100,208,1,100,,
131341,16MUS-AH057,South Africa,2016,18,228,100,7,4,1,100,5961,1632
131342,16MUS-AH060,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131343,16MUS-AH062,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131344,16MUS-AH063,South Africa,2016,69,23,100,1,49,1,14,,
131345,16MUS-AH064,South Africa,2016,705,294,100,1,29,1,3,,
131346,16MUS-AH067,South Africa,2016,69,285,100,1,22,1,100,1496,958
131347,16MUS-AH068,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131348,16MUS-aH070,South Africa,2016,10,23,100,1,4,1,14,5213,1771
131349,16MUS-AH082,South Africa,2016,10,23,100,1,4,1,100,1627,1771
131350,16MUS-AH085,South Africa,2016,18,228,100,7,20,1,100,1628,1632
131351,16MUS-AH087,South Africa,2016,10,23,100,1,102,100,100,,
131352,16MUS-AH088,South Africa,2016,383,285,100,1,22,1,3,,
131353,16MUS-AH089,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131354,16MUS-AH091,South Africa,2016,386,23,100,32,4,1,14,,
131355,16MUS-AH093,South Africa,2016,54,228,100,7,15,1,100,1641,309
131356,16MUS-AH094,South Africa,2016,277,3249,100,1,4,100,13,,
131357,16MUS-AH097,South Africa,2016,18,228,100,7,20,1,100,1628,1632
131358,16MUS-AH100,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131359,16MUS-AH101,South Africa,2016,708,23,100,1,4,100,100,,
131360,16MUS-AH109,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131361,16MUS-AH113,South Africa,2016,18,228,100,7,4,1,100,5961,1632
131362,16MUS-AH116,South Africa,2016,69,285,100,1,22,1,19,1623,958
131363,16MUS-AH118,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131364,16MUS-AH119,South Africa,2016,5,228,100,1,15,1,14,,
131365,16MUS-AH121,South Africa,2016,10,294,100,100,7,100,100,352,352
131366,16MUS-AH124,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131367,16MUS-AH126,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131368,16MUS-AH131,South Africa,2016,18,228,100,7,15,1,100,1632,1632
131369,16MUS-AH140,South Africa,2016,18,285,100,7,26,1,100,,
131370,16MUS-AH142,South Africa,2016,386,23,100,32,4,1,100,3430,
131371,16MUS-AH146,South Africa,2016,197,294,100,100,2,100,14,,
131372,16MUS-AH147,South Africa,2016,18,228,100,7,26,1,100,,
131373,16MUS-AH152,South Africa,2016,386,23,100,32,4,1,100,3430,
131374,17MUS-AH002,South Africa,2017,10,23,100,1,4,1,100,1627,1771
131375,17MUS-AH004,South Africa,2017,69,285,100,1,22,1,19,1623,958
131376,17MUS-AH007,South Africa,2017,18,228,100,7,15,1,100,1632,1632
131377,17MUS-AH009,South Africa,2017,10,23,100,1,4,1,13,1624,1771
131378,17MUS-AH011,South Africa,2017,709,3250,100,1,4,100,100,,
131379,17MUS-AH012,South Africa,2017,18,228,100,7,15,1,100,1632,1632
131380,17MUS-AH014,South Africa,2017,18,228,100,7,15,1,100,1632,1632
131381,17MUS-AH015,South Africa,2017,18,228,100,7,15,1,14,1304,1632
131382,17MUS-AH018,South Africa,2017,18,228,100,7,20,1,100,1628,1632
136267,UG001,Uganda,,10,294,100,1,22,100,14,1890,1362
136268,UG002,Uganda,,457,166,100,1,22,100,13,4766,
136269,UG003,Uganda,,5,166,100,1,10,100,100,4824,
136270,UG004,Uganda,,163,166,100,1,22,1,3,3450,
136271,UG005,Uganda,,465,294,100,1,22,100,14,4771,1362
136272,UG006,Uganda,,10,294,100,7,7,1,13,1586,1603
136273,UG008,Uganda,,465,294,100,1,22,100,14,4771,1362
136274,UG011,Uganda,,466,166,100,7,22,100,100,4810,
136275,UG012,Uganda,,503,294,100,1,49,1,14,4809,
136276,UG013,Uganda,,163,166,100,1,22,100,13,3461,
136277,UG014,Uganda,,10,294,100,7,22,1,13,1603,1603
136278,UG016,Uganda,,459,294,100,7,7,1,13,4790,1603
136279,UG017,Uganda,,10,285,100,1,49,1,100,1054,1054
136280,UG018,Uganda,,499,294,100,1,22,100,14,4807,1362
136281,UG019,Uganda,,10,166,100,1,22,100,3,4763,1271
136282,UG020,Uganda,,57,294,100,1,22,100,3,4742,1362
136283,UG021,Uganda,,503,294,100,1,49,1,14,4809,
136284,UG022,Uganda,,10,285,100,1,49,1,100,1054,1054
136285,UG023,Uganda,,10,294,69,1,22,100,100,4800,1362
136286,UG026,Uganda,,332,1919,100,1,22,1,3,4749,
136287,UG027,Uganda,,10,294,100,1,22,100,14,1890,1362
136288,UG028,Uganda,,10,294,100,1,22,100,19,4721,1362
136289,UG030,Uganda,,460,294,100,1,22,100,100,4805,1362
136290,UG032,Uganda,,10,294,100,1,22,100,14,1890,1362
136291,UG033,Uganda,,10,23,100,1,22,100,14,3409,1271
136292,UG035,Uganda,,460,294,100,1,80,100,100,4673,1362
136293,UG037,Uganda,,503,294,100,1,49,1,14,4809,
136294,UG038,Uganda,,467,23,100,1,22,100,100,4784,1271
136295,UG039,Uganda,,10,294,100,7,7,1,3,4692,1603
136296,UG041,Uganda,,10,294,100,1,22,100,14,1890,1362
136297,UG042,Uganda,,503,294,100,1,49,1,100,4674,1054
136298,UG043,Uganda,,10,23,100,1,22,100,100,1271,1271
136299,UG044,Uganda,,10,294,100,1,49,100,100,4770,1362
136300,UG045,Uganda,,10,294,100,1,22,100,100,1362,1362
136301,UG047,Uganda,,25,166,100,1,4,1,14,4827,
136302,UG048,Uganda,,10,23,100,1,4,1,3,1262,1771
136303,UG049,Uganda,,461,294,100,7,22,1,13,4787,1603
136304,UG050,Uganda,,10,285,100,7,49,1,19,4693,1054
136305,UG053,Uganda,,503,294,100,1,49,1,14,4809,
136306,UG054,Uganda,,10,166,100,7,22,100,14,4767,
136307,UG056,Uganda,,10,23,100,1,49,100,100,4737,1771
136308,UG057,Uganda,,25,166,100,1,4,1,14,4827,
136309,UG058,Uganda,,10,23,100,1,22,100,100,1271,1271
136310,UG060,Uganda,,75,3124,100,7,22,100,3,4783,
136311,UG061,Uganda,,466,3124,100,7,22,100,100,4793,
136312,UG062,Uganda,,468,294,100,7,49,100,19,4813,
136313,UG063,Uganda,,5,166,100,1,22,100,14,4701,
136314,UG064,Uganda,,10,294,100,1,22,100,100,1362,1362
136315,UG065,Uganda,,10,294,100,1,22,100,13,4755,1362
136316,UG066,Uganda,,10,294,100,1,22,100,100,1362,1362
136317,UG067,Uganda,,10,294,100,1,22,1,13,4736,1603
136318,UG068,Uganda,,332,1919,100,1,22,1,3,4749,
136319,UG069,Uganda,,10,294,100,1,22,100,100,1362,1362
136320,UG070,Uganda,,10,294,100,7,174,1,100,4781,1603
136321,UG071,Uganda,,10,20,100,1,22,100,100,3182,1271
136322,UG072,Uganda,,10,294,100,7,174,1,13,4776,1603
136323,UG073,Uganda,,10,294,100,1,22,100,100,1362,1362
136324,UG074,Uganda,,98,20,100,1,49,1,100,1132,1054
136325,UG076,Uganda,,57,294,100,7,22,1,100,4748,1603
136326,UG077,Uganda,,98,20,100,1,49,1,100,1132,1054
136327,UG078,Uganda,,10,20,100,1,49,1,100,4718,1054
136328,UG079,Uganda,,57,294,100,1,22,100,14,4730,1362
136329,UG080,Uganda,,10,285,100,7,174,1,100,4775,1054
136330,UG081,Uganda,,57,294,100,1,22,100,13,4699,1362
136331,UG082,Uganda,,10,294,100,1,22,100,14,1890,1362
136332,UG083,Uganda,,469,20,100,1,49,1,100,4817,1054
136333,UG085,Uganda,,69,294,100,1,22,100,100,4723,1362
136334,UG086,Uganda,,25,166,100,1,4,1,14,4827,
136335,UG087,Uganda,,10,294,100,1,22,100,100,1362,1362
136336,UG088,Uganda,,467,228,100,7,15,1,100,4777,309
136337,UG089,Uganda,,10,294,100,7,7,1,3,4692,1603
136338,UG090,Uganda,,5,166,100,1,4,1,100,4711,
136339,UG091,Uganda,,10,294,100,7,7,1,3,4692,1603
136340,UG092,Uganda,,163,1919,100,1,22,1,3,4705,
136341,UG094,Uganda,,57,166,100,1,22,100,13,3442,
136342,UG095,Uganda,,57,294,100,1,22,100,13,4699,1362
136343,UG097,Uganda,,10,294,100,1,22,100,100,1362,1362
136344,UG099,Uganda,,18,23,100,1,4,1,100,4758,1771
136345,UG100,Uganda,,10,294,100,1,22,100,14,1890,1362
136346,UG101,Uganda,,76,294,100,1,22,1,3,1205,
136347,UG102,Uganda,,57,294,100,1,22,100,3,4742,1362
136348,UG103,Uganda,,472,294,100,7,22,100,100,4796,1362
136349,UG104,Uganda,,332,1919,100,1,22,1,3,4749,
136350,UG105,Uganda,,57,294,100,1,22,100,100,3178,1362
136351,UG106,Uganda,,10,3096,100,1,22,100,14,4804,1271
136352,UG107,Uganda,,25,166,100,1,4,1,14,4827,
136353,UG108,Uganda,,10,294,100,1,22,100,100,1362,1362
136354,UG109,Uganda,,499,294,100,1,22,100,14,4807,1362
136355,UG110,Uganda,,10,20,100,1,49,1,100,4718,1054
136356,UG112,Uganda,,10,286,100,1,49,1,100,4676,1054
136357,UG113,Uganda,,163,166,100,1,22,100,19,4750,
136358,UG114,Uganda,,462,294,100,1,22,100,3,4675,1362
136359,UG115,Uganda,,10,294,100,1,22,100,100,1362,1362
136360,UG116,Uganda,,467,228,100,7,15,1,100,4777,309
136361,UG118,Uganda,,10,294,100,1,22,100,100,1362,1362
136362,UG119,Uganda,,463,23,100,1,4,1,100,4772,1771
136363,UG120,Uganda,,57,294,100,1,22,100,100,3178,1362
136364,UG122,Uganda,,98,20,100,1,49,1,100,1132,1054
136365,UG124,Uganda,,10,166,100,1,22,100,100,4825,1271
136366,UG125,Uganda,,18,294,100,1,22,1,3,4688,
136367,UG126,Uganda,,10,294,100,1,22,100,100,1362,1362
136368,UG127,Uganda,,25,166,100,1,4,1,14,4827,
136369,UG128,Uganda,,10,294,100,1,22,100,100,1362,1362
136370,UG129,Uganda,,57,294,100,1,22,100,14,4730,1362
136371,UG130,Uganda,,1,285,100,1,22,1,100,1494,958
136372,UG132,Uganda,,163,285,100,1,22,1,100,4828,958
136373,UG134,Uganda,,332,1919,100,1,22,1,3,4749,
136374,UG135,Uganda,,467,23,100,1,22,100,100,4784,1271
136375,UG136,Uganda,,491,23,100,1,22,100,100,4795,1271
136376,UG137,Uganda,,163,166,100,1,22,100,3,4759,
136377,UG138,Uganda,,57,294,100,1,22,100,100,3178,1362
136378,UG139,Uganda,,5,166,100,1,49,100,13,4707,
136379,UG140,Uganda,,10,294,100,1,22,1,14,4743,1362
136380,UG141,Uganda,,503,294,100,1,49,1,14,4809,
136381,UG142,Uganda,,57,294,100,1,22,100,100,3178,1362
136382,UG143,Uganda,,57,294,100,1,22,100,100,3178,1362
136383,UG144,Uganda,,10,294,100,1,22,100,100,1362,1362
136384,UG145,Uganda,,10,294,100,1,22,100,100,1362,1362
136385,UG147,Uganda,,10,166,100,7,22,100,100,4739,1271
136386,UG148,Uganda,,332,1919,100,1,22,1,3,4749,
136387,UG149,Uganda,,5,166,100,1,49,100,13,4707,
136388,UG150,Uganda,,10,285,100,7,49,1,13,2666,1054
136389,UG151,Uganda,,503,294,100,1,49,1,14,4809,
136390,UG152,Uganda,,10,294,100,1,22,100,100,1362,1362
136391,UG153,Uganda,,10,294,100,1,22,100,100,1362,1362
136392,UG154,Uganda,,1,228,100,1,49,1,100,4761,1054
136393,UG155,Uganda,,163,166,100,1,22,100,13,3461,
136394,UG156,Uganda,,293,166,100,1,22,100,100,4724,1271
136395,UG157,Uganda,,10,294,100,7,22,100,13,4733,1603
136396,UG158,Uganda,,467,23,100,1,22,100,100,4784,1271
136397,UG159,Uganda,,57,294,100,1,22,100,14,4730,1362
136398,UG160,Uganda,,18,23,100,1,4,1,100,4758,1771
136399,UG161,Uganda,,503,294,100,1,49,1,100,4674,1054
136400,UG164,Uganda,,503,294,100,1,49,1,14,4809,
136401,UG165,Uganda,,10,23,100,1,22,100,100,1271,1271
136402,UG168,Uganda,,65,294,100,1,22,100,13,4740,1362
136403,UG169,Uganda,,473,294,100,7,22,1,13,4670,1603
136404,UG170,Uganda,,332,1919,100,1,22,1,14,4769,
136405,UG171,Uganda,,57,294,100,1,22,100,14,4730,1362
136406,UG172,Uganda,,472,294,100,7,22,100,100,4796,1362
136407,UG173,Uganda,,57,166,100,1,22,100,14,4697,
136408,UG174,Uganda,,10,294,100,1,22,100,100,1362,1362
136409,UG176,Uganda,,10,23,100,1,49,100,100,4737,1771
136410,UG177,Uganda,,10,166,100,7,22,100,100,4739,1271
136411,UG178,Uganda,,10,294,100,1,22,100,14,1890,1362
136412,UG179,Uganda,,57,294,100,1,22,100,14,4730,1362
136413,UG180,Uganda,,69,294,100,1,22,100,100,4723,1362
136414,UG181,Uganda,,57,294,100,1,22,100,14,4730,1362
136415,UG183,Uganda,,57,166,100,1,22,100,14,4697,
136416,UG184,Uganda,,474,294,100,1,22,100,100,4814,1362
136417,UG185,Uganda,,98,20,100,1,49,1,100,1132,1054
136418,UG186,Uganda,,57,294,100,1,22,100,100,3178,1362
136419,UG187,Uganda,,10,294,100,7,22,100,13,4733,1603
136420,UG188,Uganda,,10,294,100,7,7,1,100,861,352
136421,UG190,Uganda,,332,1919,100,1,22,1,3,4749,
136422,UG191,Uganda,,475,23,100,7,7,1,100,4785,
136423,UG192,Uganda,,10,20,100,7,49,1,100,4726,1054
136424,UG193,Uganda,,10,3124,100,1,22,100,100,4782,1271
136425,UG194,Uganda,,10,294,100,7,7,1,3,4692,1603
136426,UG196,Uganda,,25,166,100,1,4,1,14,4827,
136427,UG199,Uganda,,57,294,100,1,22,100,14,4730,1362
136428,UG200,Uganda,,57,166,100,1,22,100,100,3452,1271
136429,UG201,Uganda,,10,294,100,1,22,100,100,1362,1362
136430,UG202,Uganda,,10,294,100,7,22,1,13,1603,1603
136431,UG203,Uganda,,76,294,100,7,103,1,13,4678,1603
136432,UG204,Uganda,,10,23,100,1,22,100,100,1271,1271
136433,UG205,Uganda,,57,294,100,1,49,100,14,4698,
136434,UG208,Uganda,,10,285,100,7,49,1,100,4826,1054
136435,UG209,Uganda,,497,294,100,1,22,100,100,4671,1362
136436,UG210,Uganda,,18,3097,100,1,10,1,100,4799,
136437,UG211,Uganda,,18,23,100,1,4,1,100,4758,1771
136438,UG212,Uganda,,163,166,100,1,22,100,14,4731,
136439,UG213,Uganda,,332,1919,100,1,22,1,3,4749,
136440,UG214,Uganda,,38,228,100,7,7,1,13,3379,268
136441,UG215,Uganda,,10,294,100,7,7,1,13,1586,1603
136442,UG216,Uganda,,10,23,100,1,22,100,100,1271,1271
136443,UG217,Uganda,,479,166,100,1,22,100,100,4788,1271
136444,UG218,Uganda,,10,285,100,7,49,1,100,4826,1054
136445,UG219,Uganda,,98,20,100,1,49,1,100,1132,1054
136446,UG220,Uganda,,480,294,100,7,22,1,13,4792,1603
136447,UG223,Uganda,,332,1919,100,1,22,1,3,4749,
136448,UG225,Uganda,,57,294,100,1,22,100,13,4699,1362
136449,UG226,Uganda,,476,20,100,1,49,1,13,4789,
136450,UG227,Uganda,,163,20,100,1,49,1,100,4714,1054
136451,UG228,Uganda,,10,294,100,7,7,1,13,1586,1603
136452,UG229,Uganda,,10,294,100,1,22,100,100,1362,1362
136453,UG230,Uganda,,503,294,100,1,49,1,14,4809,
136454,UG231,Uganda,,10,294,100,1,22,100,100,1362,1362
136455,UG233,Uganda,,10,20,100,1,49,1,100,4718,1054
136456,UG234,Uganda,,10,294,100,7,7,1,13,1586,1603
136457,UG235,Uganda,,332,1919,100,1,22,1,3,4749,
136458,UG236,Uganda,,10,294,100,7,7,1,3,4692,1603
136459,UG237,Uganda,,332,1919,100,1,22,1,3,4749,
136460,UG238,Uganda,,76,294,100,1,22,1,3,1205,
136461,UG239,Uganda,,18,3097,100,1,10,1,100,4799,
136462,UG240,Uganda,,54,294,100,7,22,100,14,4709,
136463,UG241,Uganda,,10,294,100,1,22,100,100,1362,1362
136464,UG243,Uganda,,332,1919,100,1,22,1,3,4749,
136465,UG244,Uganda,,69,20,100,1,49,1,42,4744,
136466,UG246,Uganda,,10,1919,100,1,22,1,14,4700,
136467,UG247,Uganda,,10,294,65,1,49,100,100,4815,1362
136468,UG248,Uganda,,10,294,100,1,22,1,13,4736,1603
136469,UG249,Uganda,,98,20,100,1,49,1,100,1132,1054
136470,UG250,Uganda,,10,294,65,1,49,1,100,4811,1054
136471,UG251,Uganda,,54,20,100,1,49,1,100,4690,1054
136472,UG253,Uganda,,503,294,100,1,49,1,14,4809,
136473,UG256,Uganda,,18,23,100,1,4,1,13,4753,
136474,UG257,Uganda,,332,1919,100,1,22,1,3,4749,
136475,UG258,Uganda,,10,294,100,1,22,100,100,1362,1362
136476,UG259,Uganda,,18,3097,100,1,10,1,100,4799,
136477,UG260,Uganda,,57,294,100,1,22,100,19,4696,1362
136478,UG261,Uganda,,10,23,100,1,49,100,100,4737,1771
136479,UG262,Uganda,,10,294,100,7,22,1,100,4679,1603
136480,UG263,Uganda,,18,23,100,1,4,1,100,4758,1771
136481,UG264,Uganda,,503,294,100,1,49,1,3,4808,
136482,UG265,Uganda,,10,294,100,1,22,100,100,1362,1362
136483,UG266,Uganda,,332,1919,100,1,22,1,3,4749,
136484,UG267,Uganda,,10,23,100,1,4,1,3,1262,1771
136485,UG268,Uganda,,10,285,100,7,103,100,100,4757,
136486,UG269,Uganda,,98,20,100,1,49,1,100,1132,1054
136487,UG270,Uganda,,18,3097,100,1,10,1,100,4799,
136488,UG271,Uganda,,10,294,100,7,7,1,13,1586,1603
136489,UG273,Uganda,,57,294,100,7,22,1,100,4748,1603
136490,UG274,Uganda,,332,1919,100,1,22,1,3,4749,
136491,UG275,Uganda,,10,20,100,1,22,100,100,3182,1271
136492,UG276,Uganda,,10,294,100,7,7,1,3,4692,1603
136493,UG277,Uganda,,57,294,100,1,22,100,14,4730,1362
136494,UG279,Uganda,,54,294,100,1,22,100,100,4829,1362
136495,UG280,Uganda,,486,23,100,7,22,100,100,4802,427
136496,UG281,Uganda,,10,294,100,1,22,100,100,1362,1362
136497,UG283,Uganda,,10,23,100,1,22,100,13,3183,1271
136498,UG284,Uganda,,18,23,100,1,4,1,100,4758,1771
136499,UG285,Uganda,,116,20,100,7,49,1,100,4830,
136500,UG286,Uganda,,10,294,100,7,7,1,3,4692,1603
136501,UG287,Uganda,,487,23,100,1,10,1,100,4806,
136502,UG289,Uganda,,10,3123,100,1,22,100,14,4745,1271
136503,UG293,Uganda,,10,294,70,1,22,100,100,4801,1362
136504,UG294,Uganda,,503,294,100,1,49,1,14,4809,
136505,UG295,Uganda,,10,294,100,7,7,1,100,861,352
136506,UG297,Uganda,,10,285,100,7,49,1,100,4826,1054
136507,UG298,Uganda,,18,23,100,1,4,1,100,4758,1771
136508,UG299,Uganda,,57,294,100,7,49,1,100,4689,
136509,UG300,Uganda,,10,294,100,1,22,100,14,1890,1362
136510,UG301,Uganda,,10,294,100,7,7,1,14,2170,1603
136511,UG302,Uganda,,57,294,100,1,22,100,100,3178,1362
136512,UG303,Uganda,,10,23,100,1,22,100,100,1271,1271
136513,UG304,Uganda,,10,285,100,7,172,1,100,4779,1054
136514,UG305,Uganda,,10,294,100,7,103,1,13,4756,1603
136515,UG306,Uganda,,332,1919,100,1,22,1,3,4749,
136516,UG308,Uganda,,10,294,100,1,22,100,13,4755,1362
136517,UG309,Uganda,,10,23,100,1,80,100,100,4715,1771
136518,UG310,Uganda,,54,294,100,7,22,1,100,4683,1603
136519,UG311,Uganda,,10,294,65,1,49,1,100,4811,1054
136520,UG312,Uganda,,57,294,100,1,22,100,100,3178,1362
136521,UG313,Uganda,,10,23,100,1,22,100,100,1271,1271
136522,UG314,Uganda,,332,1919,100,1,22,1,3,4749,
136523,UG315,Uganda,,503,294,100,1,49,1,100,4674,1054
136524,UG316,Uganda,,18,23,100,1,4,1,13,4753,
136525,UG318,Uganda,,10,23,100,1,22,100,100,1271,1271
136526,UG319,Uganda,,10,23,100,1,80,100,100,4715,1771
136527,UG320,Uganda,,25,166,100,1,22,1,14,4725,
136528,UG321,Uganda,,18,23,100,1,4,1,100,4758,1771
136529,UG322,Uganda,,57,294,100,1,22,100,100,3178,1362
136530,UG324,Uganda,,10,285,100,7,172,1,100,4779,1054
136531,UG325,Uganda,,1,294,100,1,22,100,13,4708,958
136532,UG326,Uganda,,54,294,100,1,22,100,100,4829,1362
136533,UG327,Uganda,,1,294,100,1,22,100,13,4708,958
136534,UG328,Uganda,,10,294,100,1,22,100,14,1890,1362
136535,UG329,Uganda,,504,294,100,1,49,1,3,4818,
136536,UG331,Uganda,,10,294,65,1,49,1,100,4811,1054
136537,UG332,Uganda,,10,3208,100,7,22,1,3,4774,1603
136538,UG333,Uganda,,10,3124,100,7,22,100,100,4773,1271
136539,UG334,Uganda,,10,285,100,7,172,1,100,4779,1054
136540,UG335,Uganda,,57,166,100,1,22,100,3,4754,
136541,UG336,Uganda,,54,294,100,1,22,100,100,4829,1362
136542,UG338,Uganda,,10,294,100,7,7,1,13,1586,1603
136543,UG339,Uganda,,10,23,100,1,80,100,100,4715,1771
136544,UG340,Uganda,,10,294,100,1,22,100,100,1362,1362
136545,UG341,Uganda,,10,294,100,1,22,100,100,1362,1362
136546,UG342,Uganda,,10,294,65,1,49,1,100,4811,1054
136547,UG344,Uganda,,503,294,100,1,49,1,14,4809,
136548,UG346,Uganda,,10,294,100,7,7,1,13,1586,1603
136549,UG347,Uganda,,10,285,100,7,49,1,14,4768,1054
136550,UG349,Uganda,,5,166,100,1,10,100,13,4713,
136551,UG350,Uganda,,332,1919,100,1,22,1,3,4749,
136552,UG351,Uganda,,10,294,100,1,22,100,100,1362,1362
136553,UG352,Uganda,,10,294,100,1,22,100,100,1362,1362
136554,UG353,Uganda,,76,294,100,1,22,1,3,1205,
136555,UG354,Uganda,,98,20,100,1,49,1,100,1132,1054
136556,UG355,Uganda,,332,1919,100,1,22,1,3,4749,
136557,UG357,Uganda,,332,3224,100,1,22,1,3,4812,
136558,UG359,Uganda,,18,23,100,1,9,1,13,4831,
136559,UG360,Uganda,,10,23,100,1,22,100,100,1271,1271
136560,UG361,Uganda,,57,294,100,1,22,100,13,4699,1362
136561,UG362,Uganda,,10,3124,100,7,22,100,13,4778,1603
136562,UG363,Uganda,,10,294,65,1,49,1,100,4811,1054
136563,UG364,Uganda,,332,1919,100,1,22,1,3,4749,
136564,UG365,Uganda,,10,294,100,7,22,1,13,1603,1603
136565,UG367,Uganda,,1,285,100,1,22,1,13,958,958
136566,UG368,Uganda,,332,1919,100,1,22,1,3,4749,
136567,UG369,Uganda,,10,294,100,7,22,1,14,4706,1603
136568,UG370,Uganda,,10,23,100,1,80,100,100,4715,1771
136569,UG371,Uganda,,336,285,100,7,7,1,13,4681,
136570,UG372,Uganda,,10,23,100,1,22,100,14,3409,1271
136571,UG373,Uganda,,10,294,100,1,49,1,14,4762,1054
136572,UG375,Uganda,,18,23,100,1,4,1,100,4758,1771
136573,UG376,Uganda,,10,294,100,1,49,100,100,4770,1362
136574,UG378,Uganda,,332,1919,100,1,22,1,3,4749,
136575,UG379,Uganda,,332,1919,100,1,22,1,3,4749,
136576,UG380,Uganda,,10,23,100,1,80,100,100,4715,1771
136577,UG381,Uganda,,69,294,100,1,22,100,100,4723,1362
136578,UG382,Uganda,,10,166,100,1,22,100,3,4763,1271
136579,UG383,Uganda,,10,294,100,1,22,100,13,4755,1362
136580,UG384,Uganda,,10,294,100,7,22,1,13,1603,1603
136581,UG385,Uganda,,1,285,100,1,22,1,13,958,958
136582,UG386,Uganda,,332,1919,100,1,22,1,3,4749,
136583,UG387,Uganda,,10,166,100,1,22,100,100,4825,1271
136584,UG388,Uganda,,57,166,100,1,22,100,3,4754,
136585,UG389,Uganda,,10,294,100,7,22,1,100,4679,1603
136586,UG390,Uganda,,10,23,100,1,80,100,100,4715,1771
136587,UG394,Uganda,,10,294,100,7,7,1,3,4692,1603
136588,UG395,Uganda,,332,1919,100,1,22,1,3,4749,
136589,UG396,Uganda,,10,3123,100,1,22,100,14,4745,1271
136590,UG398,Uganda,,10,285,100,7,49,1,14,4768,1054
136591,UG400,Uganda,,504,294,100,1,49,1,3,4818,
136592,UG405,Uganda,,10,294,100,7,22,1,13,1603,1603
136593,UG406,Uganda,,10,294,100,7,22,1,13,1603,1603
136594,UG407,Uganda,,10,294,100,7,22,1,13,1603,1603
136595,UG408,Uganda,,491,23,100,1,22,100,100,4795,1271
136596,UG409,Uganda,,10,294,100,7,22,1,100,4679,1603
136597,UG412,Uganda,,332,1919,100,1,22,1,3,4749,
136598,UG414,Uganda,,10,23,100,1,22,100,100,1271,1271
136599,UG416,Uganda,,10,294,100,7,22,1,13,1603,1603
136600,UG417,Uganda,,163,166,100,1,22,100,3,4759,
136601,UG418,Uganda,,10,3125,100,1,49,1,14,4797,1054
136602,UG419,Uganda,,332,1919,100,1,22,1,14,4769,
136603,UG420,Uganda,,18,228,100,7,55,1,100,1625,1632
136604,UG421,Uganda,,69,294,100,1,22,100,100,4723,1362
136605,UG422,Uganda,,18,23,100,1,4,1,100,4758,1771
136606,UG423,Uganda,,10,285,100,7,49,1,100,4826,1054
136607,UG424,Uganda,,10,285,100,7,49,1,100,4826,1054
136608,UG425,Uganda,,10,23,100,1,22,100,100,1271,1271
136609,UG427,Uganda,,10,294,100,7,22,1,13,1603,1603
136610,UG428,Uganda,,10,294,100,7,7,1,13,1586,1603
136611,UG429,Uganda,,10,166,100,1,22,100,100,4825,1271
136612,UG430,Uganda,,10,294,100,7,22,1,100,4679,1603
136613,UG432,Uganda,,69,294,100,1,22,100,100,4723,1362
136614,UG433,Uganda,,18,23,100,1,10,1,100,4687,
136615,UG434,Uganda,,10,294,100,2,10,100,61,4717,
136616,UG437,Uganda,,10,294,100,7,22,1,13,1603,1603
136617,UG438,Uganda,,10,294,100,7,7,1,13,1586,1603
136618,UG439,Uganda,,10,294,100,2,10,100,100,4685,352
136619,UG442,Uganda,,18,23,100,7,4,1,13,4741,426
136620,UG443,Uganda,,69,294,100,1,22,100,100,4723,1362
136621,UG444,Uganda,,10,23,100,1,22,100,100,1271,1271
136622,UG445,Uganda,,493,228,100,1,49,1,13,4794,
136623,UG446,Uganda,,163,166,100,1,22,100,3,4759,
136624,UG447,Uganda,,10,294,100,7,22,1,13,1603,1603
136625,UG448,Uganda,,10,294,100,7,7,1,13,1586,1603
136626,UG449,Uganda,,332,1919,100,1,22,1,3,4749,
136627,UG450,Uganda,,10,228,100,7,55,1,100,4633,309
136628,UG451,Uganda,,163,294,100,7,49,100,14,4764,
