id,isolate,cgST (N. gonorrhoeae cgMLST v2),LINcode (N. gonorrhoeae cgMLST v2),LIN1,LIN2,LIN3,LIN4
131197,GP13-MUS-196,19508,0_0_47_6_17_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131198,GP13-MUS-203,19509; 29669,0_0_23_7_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_7
131199,GP13-MUS-206,19510,0_0_33_12_165_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131200,GP13-MUS-208,19511,0_0_33_12_277_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131201,GP13-MUS-210,19512,0_0_33_12_217_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131202,GP13-MUS-213,19513; 40881,0_0_33_12_92_1_0_0_0_3_0,0,0_0,0_0_33,0_0_33_12
131203,GP13-MUS-215,19514,0_0_18_25_0_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_25
131204,GP13-MUS-218,19515,1_1_17_4_9_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131205,GP13-MUS-225,19516,0_18_22_1_0_0_0_0_0_0_0,0,0_18,0_18_22,0_18_22_1
131206,GP13-MUS-231,19517,1_1_27_6_4_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131207,GP-13-MUS-235,19518,1_1_27_9_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_9
131208,GP-13-MUS-236,19519,0_0_18_23_4_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_23
131209,GP-13-MUS-243,19520,0_0_33_12_205_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131210,GP-13-MUS-244,19521; 29670,0_0_23_21_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_21
131211,GP-13-MUS-247,19522,1_1_27_10_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_10
131212,GP-13-MUS-253,19523,0_0_23_2_5_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131213,GP-13-MUS-256,19524,0_0_33_12_211_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131214,GP-13-MUS-257,19525,0_0_33_12_92_7_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131215,GP-13-MUS-258,19526,0_0_33_12_166_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131216,GP-13-MUS-269,19527,0_0_33_12_173_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131217,GP-13-MUS-271,19528,0_0_36_6_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_6
131218,GP-13-MUS-272,19529,1_1_27_6_6_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131219,GP-13-MUS-275,19530; 29671,0_0_23_3_2_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_3
131220,GP-13-MUS-276,19531,0_2_21_0_9_0_1_0_0_0_0,0,0_2,0_2_21,0_2_21_0
131221,GP-14-MUS-017,19532; 38809,0_23_0_1_0_0_0_0_0_0_0,0,0_23,0_23_0,0_23_0_1
131222,GP-14-MUS-032,19533,0_0_33_12_144_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131223,GP-14-MUS-033,19534,0_10_0_2_0_2_0_0_0_0_0,0,0_10,0_10_0,0_10_0_2
131224,GP-14-MUS-034,19535; 40882,0_0_33_12_219_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131225,GP-14-MUS-042,19536,0_0_33_12_180_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131226,GP-14-MUS-052,19537,1_1_27_6_3_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131227,GP-14-MUS-054,19538; 29672,0_0_23_17_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_17
131228,GP-14-MUS-057,19539,0_0_33_12_92_5_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131229,GP-14-MUS-063,19540,0_2_71_0_3_0_0_0_0_0_0,0,0_2,0_2_71,0_2_71_0
131230,GP-14-MUS-064,19541,0_0_28_0_7_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131231,GP-14-MUS-069,19542,0_2_21_0_8_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
131232,GP-14-MUS-081,19543,0_18_22_0_0_0_0_0_0_0_0,0,0_18,0_18_22,0_18_22_0
131233,GP-14-MUS-082,19544; 29673,0_0_23_8_1_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_8
131234,GP-14-MUS-088,19545,0_0_28_1_0_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_1
131235,GP-14-MUS-092,19546,0_0_36_1_3_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131236,GP-14-MUS-094,19547,0_0_33_12_212_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131237,GP-14-MUS-095,19548; 40883,0_2_0_1_0_33_0_2_0_0_0,0,0_2,0_2_0,0_2_0_1
131238,GP-14-MUS-099,19549,0_0_33_12_200_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131239,GP-14-MUS-103,19550,0_0_33_12_186_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131240,GP-14-MUS-105,19551,0_0_47_6_20_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131241,GP-14-MUS-107,19552; 29674,0_0_23_12_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_12
131242,GP-14-MUS-110,19553; 40884,0_0_33_12_92_8_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131243,GP-14-MUS-114,19554,0_2_30_0_1_0_0_0_0_0_0,0,0_2,0_2_30,0_2_30_0
131244,GP-14-MUS-117,19555,0_0_47_6_14_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131245,GP-14-MUS-121,19556,0_0_47_6_19_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131246,GP-14-MUS-139,19557; 40885,0_0_33_12_178_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131247,GP-14-MUS-143,19558,0_0_33_12_157_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131248,GP-14-MUS-147,19559,0_12_10_3_0_0_0_0_0_0_0,0,0_12,0_12_10,0_12_10_3
131249,GP-14-MUS-150,19560,0_0_33_12_247_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131250,GP-14-MUS-151,19561,0_0_33_12_189_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131251,GP-14-MUS-154,19562,0_0_33_12_193_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131252,GP-14-MUS-156,19563,0_0_33_12_163_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131253,GP-14-MUS-165,19564,0_0_47_6_13_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131254,GP-14-MUS-183,19565,0_0_33_12_92_3_0_0_1_0_0,0,0_0,0_0_33,0_0_33_12
131255,GP-14-MUS-189,19566,1_1_17_4_8_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131256,GP-14-MUS-194,19567,0_16_0_1_27_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131257,GP-14-MUS-211,19568,0_12_10_1_0_0_0_0_0_0_0,0,0_12,0_12_10,0_12_10_1
131258,GP-14-MUS-212,19569,0_0_8_4_0_0_0_0_0_0_0,0,0_0,0_0_8,0_0_8_4
131259,GP-14-MUS-213,19570,0_0_33_12_186_0_0_0_0_1_0,0,0_0,0_0_33,0_0_33_12
131260,GP-14-MUS-214,19571,0_0_33_12_156_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131261,GP-14-MUS-218,19572,0_0_33_12_209_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131262,GP-14-MUS-219,19573,0_0_33_12_165_0_0_1_0_0_0,0,0_0,0_0_33,0_0_33_12
131263,GP-14-MUS-221,19574,0_0_72_0_0_0_0_0_0_0_0,0,0_0,0_0_72,0_0_72_0
131264,GP-14-MUS-224,19575,1_1_17_13_0_1_0_0_0_0_0,1,1_1,1_1_17,1_1_17_13
131265,GP-14-MUS-232,19576,0_16_0_1_17_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131266,GP-14-MUS-238,19577,0_0_33_12_194_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131267,GP-14-MUS-243,19578,0_0_33_12_215_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131268,GP-14-MUS-244,19579,0_0_33_12_245_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131269,GP-14-MUS-246,19580,0_0_47_6_6_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131270,GP-14-MUS-247,19581,0_0_33_12_206_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131271,GP-14-MUS-250,19582,0_0_33_12_146_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131272,GP-14-MUS-251,19583,1_1_27_6_5_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_6
131273,GP-14-MUS-252,19584; 40886,0_0_33_12_92_2_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131274,15MUS-AH001,19585,0_0_33_12_154_1_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131275,15MUS-AH007,19586,0_2_71_0_2_0_0_0_0_0_0,0,0_2,0_2_71,0_2_71_0
131276,15MUS-AH008,19587,0_0_33_12_154_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131277,15MUS-AH009,19588,0_0_33_12_242_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131278,15MUS-AH021,19589,0_0_33_12_202_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131279,15MUS-AH029,19590,1_1_17_13_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_13
131280,15MUS-AH030,19591,0_0_47_6_10_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131281,15MUS-AH041,19592,0_0_33_12_182_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131282,15MUS-AH042,19593,1_1_17_4_11_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131283,15MUS-AH060,19594; 29675,0_0_23_2_11_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131284,15MUS-AH061,19595,0_16_0_1_18_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131285,15MUS-AH063,19596,0_0_33_77_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_77
131286,15MUS-AH064,19597; 29676,0_0_23_8_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_8
131287,15MUS-AH068,19598,0_0_33_75_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_75
131288,15MUS-AH077,19599,0_2_71_0_0_1_0_0_0_0_0,0,0_2,0_2_71,0_2_71_0
131289,15MUS-AH078,19600,0_0_33_12_214_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131290,15MUS-AH079,19601,0_0_33_12_197_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131291,15MUS-AH083,19602,0_0_64_0_0_0_0_0_0_0_0,0,0_0,0_0_64,0_0_64_0
131292,15MUS-AH084,19603,0_0_33_12_183_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131293,15MUS-AH085,19604,0_0_28_1_1_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_1
131294,15MUS-AH086,19605; 29677,0_0_23_23_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_23
131295,15MUS-AH087,19606,0_0_47_6_16_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131296,15MUS-AH088,19607; 27606,0_0_28_0_3_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131297,15MUS-AH089,19608,0_0_33_12_158_0_0_0_0_1_0,0,0_0,0_0_33,0_0_33_12
131298,15MUS-AH092,19609,1_1_27_6_6_0_0_0_1_0_0,1,1_1,1_1_27,1_1_27_6
131299,15MUS-AH093,19610,0_16_0_1_6_4_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131300,15MUS-AH094,19611,0_18_22_3_0_0_0_0_0_0_0,0,0_18,0_18_22,0_18_22_3
131301,15MUS-AH096,19612,11_0_5_0_0_0_0_0_0_0_0,11,11_0,11_0_5,11_0_5_0
131302,15MUS-AH101,19613,0_16_0_1_28_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131303,15MUS-AH103,19614,0_0_33_12_154_0_0_1_0_0_0,0,0_0,0_0_33,0_0_33_12
131304,15MUS-AH106,19615; 29678,0_0_23_2_6_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131305,15MUS-AH108,19616,0_0_33_12_158_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131306,15MUS-AH112,19617,0_0_47_6_18_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131307,15MUS-AH113,19618,1_1_17_10_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_10
131308,15MUS-AH117,19595,0_16_0_1_18_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
131309,15MUS-AH119,19619,1_1_27_13_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_13
131310,15MUS-AH121,19620,0_0_73_0_0_0_0_0_0_0_0,0,0_0,0_0_73,0_0_73_0
131311,15MUS-AH122,19621; 29679,0_0_25_4_0_0_0_0_0_0_0,0,0_0,0_0_25,0_0_25_4
131312,15MUS-AH130,19622; 40887,0_0_33_12_161_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131313,15MUS-AH131,19623,1_1_17_4_19_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131314,15MUS-AH133,19624; 29680,0_0_23_2_8_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131315,15MUS-AH135,19625; 29681,0_0_25_2_1_0_0_0_0_0_0,0,0_0,0_0_25,0_0_25_2
131316,15MUS-AH138,19626,0_0_33_12_92_6_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131317,15MUS-AH140,19627,0_0_33_12_184_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131318,15MUS-AH143,19628,0_0_33_12_155_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131319,15MUS-AH146,19629,0_0_33_12_276_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131320,15MUS-AH148,19630,0_0_33_12_162_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131321,15MUS-AH149,19631,1_1_27_14_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_14
131322,15MUS-AH150,,,,,,
131323,15MUS-AH152,19632,0_0_33_79_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_79
131324,15MUS-AH153,19633,0_0_33_12_174_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131325,15MUS-AH154,19634,0_0_33_12_172_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131326,15MUS-AH160,19635,0_0_18_23_3_0_0_0_0_0_0,0,0_0,0_0_18,0_0_18_23
131327,15MUS-AH165,19636,0_0_33_12_176_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131328,15MUS-AH166,19637,0_0_33_12_208_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131329,16MUS-AH007,19638,0_0_33_12_185_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131330,16MUS-AH009,19639,1_1_27_12_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_12
131331,16MUS-AH010,19640,0_0_36_1_7_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_1
131332,16MUS-AH011,19641,0_0_23_14_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_14
131333,16MUS-AH012,19642; 29682,0_0_23_19_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_19
131334,16MUS-AH017,19643,0_0_33_70_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_70
131335,16MUS-AH019,19644,0_0_47_7_1_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_7
131336,16MUS-AH023,19645,0_0_61_0_0_0_0_0_0_0_0,0,0_0,0_0_61,0_0_61_0
131337,16MUS-AH026,19646; 40888,0_0_33_12_210_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131338,16MUS-AH029,19647,0_0_33_12_188_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131339,16MUS-AH030,19648,0_0_47_6_4_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131340,16MUS-AH034,19649,1_1_27_12_0_0_0_1_0_0_0,1,1_1,1_1_27,1_1_27_12
131341,16MUS-AH057,19650,0_0_33_12_203_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131342,16MUS-AH060,19651,0_0_33_12_169_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131343,16MUS-AH062,19652,0_0_33_12_177_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131344,16MUS-AH063,19653,0_16_0_8_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_8
131345,16MUS-AH064,19654,0_0_23_14_0_1_0_0_0_0_0,0,0_0,0_0_23,0_0_23_14
131346,16MUS-AH067,19655,0_0_47_6_12_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131347,16MUS-AH068,19656,0_0_33_12_198_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131348,16MUS-aH070,19657; 29683,0_0_23_20_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_20
131349,16MUS-AH082,19658; 29684,0_0_23_2_10_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131350,16MUS-AH085,19659,0_0_33_12_185_0_0_0_0_1_0,0,0_0,0_0_33,0_0_33_12
131351,16MUS-AH087,19660,1_1_27_11_0_0_0_0_0_0_0,1,1_1,1_1_27,1_1_27_11
131352,16MUS-AH088,19661,0_0_47_6_15_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_6
131353,16MUS-AH089,19662,0_0_33_12_148_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131354,16MUS-AH091,19663,0_0_28_0_6_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131355,16MUS-AH093,19664,0_0_33_12_187_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131356,16MUS-AH094,19665,1_1_17_12_0_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_12
131357,16MUS-AH097,19666,0_0_33_12_185_0_0_0_0_2_0,0,0_0,0_0_33,0_0_33_12
131358,16MUS-AH100,19667,0_0_33_69_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_69
131359,16MUS-AH101,19668,0_18_23_2_0_0_0_0_0_0_0,0,0_18,0_18_23,0_18_23_2
131360,16MUS-AH109,19669,0_0_33_12_207_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131361,16MUS-AH113,19670,0_0_33_12_202_1_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131362,16MUS-AH116,19671,0_0_47_11_2_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_11
131363,16MUS-AH118,19672,0_0_33_12_148_0_0_1_0_0_0,0,0_0,0_0_33,0_0_33_12
131364,16MUS-AH119,19673,0_0_33_12_283_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131365,16MUS-AH121,19674,0_2_72_0_0_0_0_0_0_0_0,0,0_2,0_2_72,0_2_72_0
131366,16MUS-AH124,19675,0_0_33_12_92_4_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131367,16MUS-AH126,19676,0_0_33_71_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_71
131368,16MUS-AH131,19677,0_0_33_69_0_1_0_0_0_0_0,0,0_0,0_0_33,0_0_33_69
131369,16MUS-AH140,19678,0_0_33_12_175_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131370,16MUS-AH142,19679,0_0_28_0_5_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131371,16MUS-AH146,19680,1_1_17_4_17_0_0_0_0_0_0,1,1_1,1_1_17,1_1_17_4
131372,16MUS-AH147,19681,0_0_33_12_160_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131373,16MUS-AH152,19682,0_0_28_0_4_0_0_0_0_0_0,0,0_0,0_0_28,0_0_28_0
131374,17MUS-AH002,19683; 29685,0_0_23_2_2_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131375,17MUS-AH004,19684,0_0_47_11_1_0_0_0_0_0_0,0,0_0,0_0_47,0_0_47_11
131376,17MUS-AH007,19685,0_0_33_12_168_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131377,17MUS-AH009,19686; 29686,0_0_23_2_7_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_2
131378,17MUS-AH011,19687,0_18_23_0_0_0_0_0_0_0_0,0,0_18,0_18_23,0_18_23_0
131379,17MUS-AH012,19688,0_0_33_12_181_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131380,17MUS-AH014,19689,0_0_33_12_190_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131381,17MUS-AH015,19690,0_0_33_12_213_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
131382,17MUS-AH018,19691; 41795,0_0_33_12_278_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_12
136267,UG001,19916,1_1_34_6_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_6
136268,UG002,19917,16_1_0_2_0_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_2
136269,UG003,19918,14_0_2_0_0_0_0_0_0_0_0,14,14_0,14_0_2,14_0_2_0
136270,UG004,19919,16_1_0_2_3_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_2
136271,UG005,19920,1_0_0_0_8_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
136272,UG006,19921,0_0_33_53_4_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_53
136273,UG008,19922,1_0_0_0_4_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
136274,UG011,19923,16_1_0_2_5_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_2
136275,UG012,19924,0_16_0_1_22_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
136276,UG013,19925,16_1_0_2_1_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_2
136277,UG014,19926,0_0_33_124_1_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_124
136278,UG016,19927,0_0_33_53_5_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_53
136279,UG017,19928,0_16_0_9_0_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_9
136280,UG018,19929,1_0_0_0_1_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
136281,UG019,19930,16_1_0_2_2_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_2
136282,UG020,19931,1_0_0_0_5_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
136283,UG021,19932,0_16_0_1_24_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
136284,UG022,19933,0_16_7_0_0_0_0_0_0_0_0,0,0_16,0_16_7,0_16_7_0
136285,UG023,19934,1_1_34_9_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_9
136286,UG026,19935,0_16_9_1_1_0_0_0_0_0_0,0,0_16,0_16_9,0_16_9_1
136287,UG027,19936,1_1_34_0_4_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_0
136288,UG028,19937,1_1_34_8_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_8
136289,UG030,19938,1_0_0_0_6_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
136290,UG032,19939,0_0_36_7_0_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_7
136291,UG033,19940,0_9_0_9_0_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_9
136292,UG035,19941,1_0_0_0_3_0_0_0_0_0_0,1,1_0,1_0_0,1_0_0_0
136293,UG037,19942,0_16_0_1_30_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
136294,UG038,19943,16_1_0_5_0_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_5
136295,UG039,19944; 20105,0_0_33_49_1_1_0_0_0_0_0,0,0_0,0_0_33,0_0_33_49
136296,UG041,19945,1_1_34_0_5_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_0
136297,UG042,19946,0_16_0_1_25_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
136298,UG043,19947,0_9_0_5_6_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
136299,UG044,19948,1_1_34_7_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_7
136300,UG045,19949,0_0_36_4_4_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
136301,UG047,19950,0_2_21_0_11_1_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
136302,UG048,19951; 33766; 44929,0_0_23_13_0_0_0_0_0_0_0,0,0_0,0_0_23,0_0_23_13
136303,UG049,19952,0_0_33_124_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_124
136304,UG050,19953,0_0_33_129_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_129
136305,UG053,19954,0_16_0_1_21_0_0_0_0_0_0,0,0_16,0_16_0,0_16_0_1
136306,UG054,19955,16_1_0_6_0_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_6
136307,UG056,19956,0_9_0_5_7_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
136308,UG057,19957,0_2_21_0_11_0_0_0_0_0_0,0,0_2,0_2_21,0_2_21_0
136309,UG058,19958,0_9_0_5_8_0_0_0_0_0_0,0,0_9,0_9_0,0_9_0_5
136310,UG060,19959,16_1_0_0_0_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_0
136311,UG061,19960; 44930,16_1_0_1_0_0_0_0_0_0_0,16,16_1,16_1_0,16_1_0_1
136312,UG062,19961,11_0_4_0_0_0_0_0_0_0_0,11,11_0,11_0_4,11_0_4_0
136313,UG063,19962,14_0_2_1_0_0_0_0_0_0_0,14,14_0,14_0_2,14_0_2_1
136314,UG064,19963,0_0_36_4_10_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
136315,UG065,19964,1_0_1_0_0_0_0_0_0_0_0,1,1_0,1_0_1,1_0_1_0
136316,UG066,19965,0_0_36_4_5_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
136317,UG067,19966,0_0_33_125_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_125
136318,UG068,19967,0_16_9_1_2_0_0_0_0_0_0,0,0_16,0_16_9,0_16_9_1
136319,UG069,19968,1_1_34_11_0_0_0_0_0_0_0,1,1_1,1_1_34,1_1_34_11
136320,UG070,19969,0_0_33_121_1_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_121
136321,UG071,19970,0_0_36_4_1_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
136322,UG072,19971,0_0_33_121_0_0_0_0_0_0_0,0,0_0,0_0_33,0_0_33_121
136323,UG073,19972,0_0_36_4_3_0_0_0_0_0_0,0,0_0,0_0_36,0_0_36_4
136324,UG074,19973,0_16_4_0_14_0_0_0_0_0_0,0,0_16,0_16_4,0_16_4_0
136325,UG076,19974,0_16_10_0_0_0_0_0_0_0_0,0,0_16,0_16_10,0_16_10_0
